ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
,,,Gas-,,,,
92304,4,2018,Gas- Commercial,Y,0,0,
92304,5,2018,Gas- Commercial,Y,0,0,
92304,6,2018,Gas- Commercial,Y,0,0,
92365,4,2018,Gas- Commercial,Y,0,0,
92365,5,2018,Gas- Commercial,Y,0,0,
92365,6,2018,Gas- Commercial,Y,0,0,
93203,4,2018,Gas- Commercial,Y,0,0,
93203,5,2018,Gas- Commercial,Y,0,0,
93203,6,2018,Gas- Commercial,Y,0,0,
93204,4,2018,Gas- Commercial,Y,0,0,
93204,5,2018,Gas- Commercial,Y,0,0,
93204,6,2018,Gas- Commercial,Y,0,0,
93210,4,2018,Gas- Commercial,Y,0,0,
93210,5,2018,Gas- Commercial,Y,0,0,
93210,6,2018,Gas- Commercial,Y,0,0,
93224,4,2018,Gas- Commercial,Y,0,0,
93224,5,2018,Gas- Commercial,Y,0,0,
93224,6,2018,Gas- Commercial,Y,0,0,
93234,4,2018,Gas- Commercial,Y,0,0,
93234,5,2018,Gas- Commercial,Y,0,0,
93234,6,2018,Gas- Commercial,Y,0,0,
93239,4,2018,Gas- Commercial,Y,0,0,
93239,5,2018,Gas- Commercial,Y,0,0,
93239,6,2018,Gas- Commercial,Y,0,0,
93252,4,2018,Gas- Commercial,Y,0,0,
93252,5,2018,Gas- Commercial,Y,0,0,
93252,6,2018,Gas- Commercial,Y,0,0,
93263,4,2018,Gas- Commercial,Y,0,0,
93263,5,2018,Gas- Commercial,Y,0,0,
93263,6,2018,Gas- Commercial,Y,0,0,
93268,4,2018,Gas- Commercial,Y,286,"27,069",95
93268,5,2018,Gas- Commercial,Y,0,0,
93268,6,2018,Gas- Commercial,Y,0,0,
93280,4,2018,Gas- Commercial,Y,0,0,
93280,5,2018,Gas- Commercial,Y,0,0,
93280,6,2018,Gas- Commercial,Y,0,0,
93301,4,2018,Gas- Commercial,N,"1,164","116,220",100
93301,5,2018,Gas- Commercial,N,"1,161","99,912",86
93301,6,2018,Gas- Commercial,N,"1,156","84,149",73
93304,4,2018,Gas- Commercial,N,601,"82,279",137
93304,5,2018,Gas- Commercial,N,599,"81,100",135
93304,6,2018,Gas- Commercial,N,601,"75,457",126
93305,4,2018,Gas- Commercial,N,504,"54,022",107
93305,5,2018,Gas- Commercial,N,509,"47,349",93
93305,6,2018,Gas- Commercial,N,509,"41,904",82
93306,4,2018,Gas- Commercial,N,365,"79,971",219
93306,5,2018,Gas- Commercial,N,365,"74,786",205
93306,6,2018,Gas- Commercial,Y,0,0,
93307,4,2018,Gas- Commercial,Y,"1,200","194,377",162
93307,5,2018,Gas- Commercial,Y,"1,251","171,338",137
93307,6,2018,Gas- Commercial,Y,"2,128","295,295",139
93308,4,2018,Gas- Commercial,Y,517,"62,455",121
93308,5,2018,Gas- Commercial,Y,519,"57,353",111
93308,6,2018,Gas- Commercial,Y,0,0,
93309,4,2018,Gas- Commercial,Y,433,"69,684",161
