ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageThm
92304,10,2014,Gas- Commercial,Y,0,0,
92304,10,2014,Gas- Residential,Y,0,0,
92365,10,2014,Gas- Commercial,Y,0,0,
92365,10,2014,Gas- Residential,Y,0,0,
93203,10,2014,Gas- Commercial,Y,0,0,
93203,10,2014,Gas- Residential,Y,0,0,
93204,10,2014,Gas- Commercial,Y,0,0,
93204,10,2014,Gas- Residential,N,"2,205","48,207",22
93210,10,2014,Gas- Commercial,Y,0,0,
93210,10,2014,Gas- Residential,Y,0,0,
93224,10,2014,Gas- Commercial,Y,0,0,
93224,10,2014,Gas- Residential,Y,0,0,
93234,10,2014,Gas- Commercial,Y,0,0,
93234,10,2014,Gas- Residential,Y,"1,349","27,245",20
93239,10,2014,Gas- Commercial,Y,0,0,
93239,10,2014,Gas- Residential,N,331,"6,053",18
93252,10,2014,Gas- Commercial,Y,0,0,
93252,10,2014,Gas- Residential,N,387,"6,569",17
93263,10,2014,Gas- Commercial,Y,0,0,
93263,10,2014,Gas- Residential,Y,0,0,
93268,10,2014,Gas- Commercial,Y,268,"16,469",61
93268,10,2014,Gas- Residential,Y,"4,758","86,453",18
93301,10,2014,Gas- Commercial,N,"1,177","102,936",87
93301,10,2014,Gas- Residential,N,"4,766","80,176",17
93304,10,2014,Gas- Commercial,N,614,"75,191",122
93304,10,2014,Gas- Residential,N,"14,795","295,020",20
93305,10,2014,Gas- Commercial,N,502,"54,493",109
93305,10,2014,Gas- Residential,N,"10,410","213,469",21
93306,10,2014,Gas- Commercial,N,352,"73,429",209
93306,10,2014,Gas- Residential,N,"20,041","358,772",18
93307,10,2014,Gas- Commercial,Y,638,"72,657",114
93307,10,2014,Gas- Residential,Y,"19,551","427,670",22
93308,10,2014,Gas- Commercial,Y,503,"64,582",128
93308,10,2014,Gas- Residential,N,"5,814","126,689",22
93309,10,2014,Gas- Commercial,N,396,"53,010",134
93309,10,2014,Gas- Residential,Y,"12,285","196,682",16
93311,10,2014,Gas- Commercial,Y,0,0,
93311,10,2014,Gas- Residential,N,"8,442","143,778",17
