ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,7,2018,Gas- Commercial,Y,0,0,
92304,8,2018,Gas- Commercial,Y,0,0,
92304,9,2018,Gas- Commercial,Y,0,0,
92365,7,2018,Gas- Commercial,Y,0,0,
92365,8,2018,Gas- Commercial,Y,0,0,
92365,9,2018,Gas- Commercial,Y,0,0,
93203,7,2018,Gas- Commercial,Y,0,0,
93203,8,2018,Gas- Commercial,Y,0,0,
93203,9,2018,Gas- Commercial,Y,0,0,
93204,7,2018,Gas- Commercial,Y,0,0,
93204,8,2018,Gas- Commercial,Y,0,0,
93204,9,2018,Gas- Commercial,Y,0,0,
93210,7,2018,Gas- Commercial,Y,0,0,
93210,8,2018,Gas- Commercial,Y,0,0,
93210,9,2018,Gas- Commercial,Y,0,0,
93224,7,2018,Gas- Commercial,Y,0,0,
93224,8,2018,Gas- Commercial,Y,0,0,
93224,9,2018,Gas- Commercial,Y,0,0,
93234,7,2018,Gas- Commercial,Y,0,0,
93234,8,2018,Gas- Commercial,Y,0,0,
93234,9,2018,Gas- Commercial,Y,0,0,
93239,7,2018,Gas- Commercial,Y,0,0,
93239,8,2018,Gas- Commercial,Y,0,0,
93239,9,2018,Gas- Commercial,Y,0,0,
93252,7,2018,Gas- Commercial,Y,0,0,
93252,8,2018,Gas- Commercial,Y,0,0,
93252,9,2018,Gas- Commercial,Y,0,0,
93263,7,2018,Gas- Commercial,Y,0,0,
93263,8,2018,Gas- Commercial,Y,0,0,
93263,9,2018,Gas- Commercial,Y,0,0,
93268,7,2018,Gas- Commercial,Y,0,0,
93268,8,2018,Gas- Commercial,Y,0,0,
93268,9,2018,Gas- Commercial,Y,280,"17,555",63
93280,7,2018,Gas- Commercial,Y,0,0,
93280,8,2018,Gas- Commercial,Y,0,0,
93301,7,2018,Gas- Commercial,N,"1,147","77,138",67
93301,8,2018,Gas- Commercial,N,"1,144","84,059",73
93301,9,2018,Gas- Commercial,N,"1,148","85,313",74
93304,7,2018,Gas- Commercial,N,599,"74,517",124
93304,8,2018,Gas- Commercial,N,598,"76,606",128
93304,9,2018,Gas- Commercial,N,603,"74,321",123
93305,7,2018,Gas- Commercial,N,500,"38,111",76
93305,8,2018,Gas- Commercial,N,497,"41,198",83
93305,9,2018,Gas- Commercial,Y,"1,344","191,737",143
93306,7,2018,Gas- Commercial,N,362,"61,093",169
93306,8,2018,Gas- Commercial,N,361,"66,845",185
93306,9,2018,Gas- Commercial,Y,0,0,
93307,7,2018,Gas- Commercial,Y,662,"74,997",113
93307,8,2018,Gas- Commercial,Y,664,"75,420",114
93307,9,2018,Gas- Commercial,Y,"1,201","158,738",132
93308,7,2018,Gas- Commercial,Y,515,"52,736",102
93308,8,2018,Gas- Commercial,Y,511,"52,548",103
93308,9,2018,Gas- Commercial,Y,0,0,
93309,7,2018,Gas- Commercial,N,381,"49,931",131
93309,8,2018,Gas- Commercial,N,380,"52,705",139
93309,9,2018,Gas- Commercial,N,378,"52,306",138
93311,7,2018,Gas- Commercial,Y,0,0,
93311,8,2018,Gas- Commercial,Y,0,0,
93311,9,2018,Gas- Commercial,Y,74,"10,341",140
93313,7,2018,Gas- Commercial,Y,584,"64,410",110
93313,8,2018,Gas- Commercial,Y,585,"68,912",118
93313,9,2018,Gas- Commercial,Y,0,0,
93314,7,2018,Gas- Commercial,Y,0,0,
93314,8,2018,Gas- Commercial,Y,0,0,
93314,9,2018,Gas- Commercial,Y,0,0,
93432,7,2018,Gas- Commercial,Y,0,0,
93432,8,2018,Gas- Commercial,Y,0,0,
93432,9,2018,Gas- Commercial,Y,0,0,
93446,7,2018,Gas- Commercial,Y,0,0,
93446,8,2018,Gas- Commercial,Y,0,0,
93446,9,2018,Gas- Commercial,Y,0,0,
93450,7,2018,Gas- Commercial,Y,0,0,
93450,8,2018,Gas- Commercial,Y,0,0,
93450,9,2018,Gas- Commercial,Y,0,0,
93461,7,2018,Gas- Commercial,Y,0,0,
93461,8,2018,Gas- Commercial,Y,0,0,
93461,9,2018,Gas- Commercial,Y,0,0,
93516,7,2018,Gas- Commercial,Y,0,0,
93516,8,2018,Gas- Commercial,Y,0,0,
93516,9,2018,Gas- Commercial,Y,0,0,
93523,7,2018,Gas- Commercial,Y,0,0,
93523,8,2018,Gas- Commercial,Y,0,0,
93523,9,2018,Gas- Commercial,Y,0,0,
93555,7,2018,Gas- Commercial,Y,609,"44,206",73
93555,8,2018,Gas- Commercial,Y,610,"47,651",78
93555,9,2018,Gas- Commercial,Y,609,"49,072",81
93561,7,2018,Gas- Commercial,Y,0,0,
93561,8,2018,Gas- Commercial,Y,0,0,
93561,9,2018,Gas- Commercial,Y,0,0,
93562,7,2018,Gas- Commercial,Y,0,0,
93562,8,2018,Gas- Commercial,Y,0,0,
93562,9,2018,Gas- Commercial,Y,0,0,
93608,7,2018,Gas- Commercial,Y,0,0,
93608,8,2018,Gas- Commercial,Y,0,0,
93608,9,2018,Gas- Commercial,Y,0,0,
93610,7,2018,Gas- Commercial,Y,0,0,
93610,8,2018,Gas- Commercial,Y,0,0,
93610,9,2018,Gas- Commercial,Y,0,0,
93611,7,2018,Gas- Commercial,Y,469,"52,855",113
93611,8,2018,Gas- Commercial,N,429,"53,562",125
93611,9,2018,Gas- Commercial,N,429,"55,009",128
93612,7,2018,Gas- Commercial,N,945,"106,881",113
93612,8,2018,Gas- Commercial,N,944,"110,002",117
93612,9,2018,Gas- Commercial,N,939,"109,099",116
93616,7,2018,Gas- Commercial,Y,0,0,
93616,8,2018,Gas- Commercial,Y,0,0,
93616,9,2018,Gas- Commercial,Y,0,0,
93619,7,2018,Gas- Commercial,Y,0,0,
93619,8,2018,Gas- Commercial,Y,0,0,
93619,9,2018,Gas- Commercial,Y,0,0,
93620,7,2018,Gas- Commercial,Y,0,0,
93620,8,2018,Gas- Commercial,Y,0,0,
93620,9,2018,Gas- Commercial,Y,0,0,
93622,7,2018,Gas- Commercial,Y,319,"27,810",87
93622,8,2018,Gas- Commercial,Y,319,"29,890",94
93622,9,2018,Gas- Commercial,Y,0,0,
93625,7,2018,Gas- Commercial,Y,0,0,
93625,8,2018,Gas- Commercial,Y,0,0,
93625,9,2018,Gas- Commercial,Y,0,0,
93627,7,2018,Gas- Commercial,Y,0,0,
93627,8,2018,Gas- Commercial,Y,0,0,
93627,9,2018,Gas- Commercial,Y,0,0,
93630,7,2018,Gas- Commercial,Y,0,0,
93630,8,2018,Gas- Commercial,Y,0,0,
93630,9,2018,Gas- Commercial,Y,0,0,
93631,7,2018,Gas- Commercial,Y,0,0,
93631,8,2018,Gas- Commercial,Y,0,0,
93631,9,2018,Gas- Commercial,Y,0,0,
93635,7,2018,Gas- Commercial,N,450,"56,736",126
93635,8,2018,Gas- Commercial,Y,0,0,
93635,9,2018,Gas- Commercial,N,447,"62,069",139
93636,7,2018,Gas- Commercial,Y,0,0,
93636,8,2018,Gas- Commercial,Y,0,0,
93636,9,2018,Gas- Commercial,Y,0,0,
93637,7,2018,Gas- Commercial,Y,"1,078","201,418",187
93637,8,2018,Gas- Commercial,Y,"1,075","219,017",204
93637,9,2018,Gas- Commercial,Y,"1,108","223,942",202
93638,7,2018,Gas- Commercial,Y,0,0,
93638,8,2018,Gas- Commercial,Y,0,0,
93638,9,2018,Gas- Commercial,Y,0,0,
93640,7,2018,Gas- Commercial,Y,0,0,
93640,8,2018,Gas- Commercial,Y,0,0,
93640,9,2018,Gas- Commercial,Y,0,0,
93650,7,2018,Gas- Commercial,N,127,"10,055",79
93650,8,2018,Gas- Commercial,N,127,"10,670",84
93650,9,2018,Gas- Commercial,N,128,"10,591",83
93657,7,2018,Gas- Commercial,N,328,"47,568",145
93657,8,2018,Gas- Commercial,Y,0,0,
93657,9,2018,Gas- Commercial,Y,363,"56,425",155
93660,7,2018,Gas- Commercial,Y,0,0,
93660,8,2018,Gas- Commercial,Y,0,0,
93660,9,2018,Gas- Commercial,Y,0,0,
93662,7,2018,Gas- Commercial,Y,0,0,
93662,8,2018,Gas- Commercial,Y,347,"43,633",126
93662,9,2018,Gas- Commercial,Y,351,"53,882",154
93668,7,2018,Gas- Commercial,Y,0,0,
93668,8,2018,Gas- Commercial,Y,0,0,
93668,9,2018,Gas- Commercial,Y,0,0,
93701,7,2018,Gas- Commercial,Y,0,0,
93701,8,2018,Gas- Commercial,Y,0,0,
93701,9,2018,Gas- Commercial,Y,0,0,
93702,7,2018,Gas- Commercial,N,394,"38,063",97
93702,8,2018,Gas- Commercial,N,395,"43,001",109
93702,9,2018,Gas- Commercial,N,397,"44,287",112
93703,7,2018,Gas- Commercial,Y,529,"48,695",92
93703,8,2018,Gas- Commercial,Y,528,"53,660",102
93703,9,2018,Gas- Commercial,Y,526,"53,392",102
93704,7,2018,Gas- Commercial,N,382,"28,947",76
93704,8,2018,Gas- Commercial,N,381,"34,162",90
93704,9,2018,Gas- Commercial,Y,593,"67,178",113
93705,7,2018,Gas- Commercial,Y,0,0,
93705,8,2018,Gas- Commercial,N,214,"29,946",140
93705,9,2018,Gas- Commercial,Y,0,0,
93706,7,2018,Gas- Commercial,Y,"1,944","328,173",169
93706,8,2018,Gas- Commercial,Y,"1,937","328,311",169
93706,9,2018,Gas- Commercial,Y,"1,933","325,414",168
93710,7,2018,Gas- Commercial,Y,880,"105,013",119
93710,8,2018,Gas- Commercial,Y,883,"109,681",124
93710,9,2018,Gas- Commercial,Y,885,"112,431",127
93711,7,2018,Gas- Commercial,Y,"1,170","79,110",68
