ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,10,2019,Gas- Commercial,Y,0,0,
92304,11,2019,Gas- Commercial,Y,0,0,
92304,12,2019,Gas- Commercial,Y,0,0,
92365,10,2019,Gas- Commercial,Y,0,0,
92365,11,2019,Gas- Commercial,Y,0,0,
92365,12,2019,Gas- Commercial,Y,0,0,
93203,10,2019,Gas- Commercial,Y,0,0,
93203,11,2019,Gas- Commercial,Y,0,0,
93203,12,2019,Gas- Commercial,Y,0,0,
93204,10,2019,Gas- Commercial,Y,0,0,
93204,11,2019,Gas- Commercial,Y,0,0,
93204,12,2019,Gas- Commercial,Y,0,0,
93210,10,2019,Gas- Commercial,Y,0,0,
93210,11,2019,Gas- Commercial,Y,0,0,
93210,12,2019,Gas- Commercial,Y,0,0,
93224,10,2019,Gas- Commercial,Y,0,0,
93224,11,2019,Gas- Commercial,Y,0,0,
93224,12,2019,Gas- Commercial,Y,0,0,
93234,10,2019,Gas- Commercial,Y,0,0,
93234,11,2019,Gas- Commercial,Y,0,0,
93234,12,2019,Gas- Commercial,Y,0,0,
93239,10,2019,Gas- Commercial,Y,0,0,
93239,11,2019,Gas- Commercial,Y,0,0,
93239,12,2019,Gas- Commercial,Y,0,0,
93252,10,2019,Gas- Commercial,Y,0,0,
93252,11,2019,Gas- Commercial,Y,0,0,
93252,12,2019,Gas- Commercial,Y,0,0,
93263,10,2019,Gas- Commercial,Y,0,0,
93263,11,2019,Gas- Commercial,Y,0,0,
93263,12,2019,Gas- Commercial,Y,0,0,
93268,10,2019,Gas- Commercial,Y,0,0,
93268,11,2019,Gas- Commercial,Y,0,0,
93268,12,2019,Gas- Commercial,Y,0,0,
93301,10,2019,Gas- Commercial,Y,"2,604","442,712",170
93301,11,2019,Gas- Commercial,N,"1,153","196,779",171
93301,12,2019,Gas- Commercial,N,"1,156","298,518",258
93304,10,2019,Gas- Commercial,Y,0,0,
93304,11,2019,Gas- Commercial,N,597,"117,094",196
93304,12,2019,Gas- Commercial,N,602,"157,746",262
93305,10,2019,Gas- Commercial,Y,0,0,
93305,11,2019,Gas- Commercial,N,477,"89,777",188
93305,12,2019,Gas- Commercial,N,476,"125,083",263
93306,10,2019,Gas- Commercial,Y,0,0,
93306,11,2019,Gas- Commercial,N,367,"114,196",311
93306,12,2019,Gas- Commercial,Y,0,0,
93307,10,2019,Gas- Commercial,Y,672,"123,270",183
93307,11,2019,Gas- Commercial,Y,672,"184,450",274
