ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,4,2021,Gas- Commercial,Y,0,0,
92304,5,2021,Gas- Commercial,Y,0,0,
92304,6,2021,Gas- Commercial,Y,0,0,
92365,4,2021,Gas- Commercial,Y,0,0,
92365,5,2021,Gas- Commercial,Y,0,0,
92365,6,2021,Gas- Commercial,Y,0,0,
93203,4,2021,Gas- Commercial,Y,0,0,
93203,5,2021,Gas- Commercial,Y,0,0,
93203,6,2021,Gas- Commercial,Y,0,0,
93204,4,2021,Gas- Commercial,Y,0,0,
93204,5,2021,Gas- Commercial,Y,0,0,
93204,6,2021,Gas- Commercial,Y,0,0,
93210,4,2021,Gas- Commercial,Y,0,0,
93210,5,2021,Gas- Commercial,Y,0,0,
93210,6,2021,Gas- Commercial,Y,0,0,
93224,4,2021,Gas- Commercial,Y,0,0,
93224,5,2021,Gas- Commercial,Y,0,0,
93224,6,2021,Gas- Commercial,Y,0,0,
93234,4,2021,Gas- Commercial,Y,0,0,
93234,5,2021,Gas- Commercial,Y,0,0,
93234,6,2021,Gas- Commercial,Y,0,0,
93239,4,2021,Gas- Commercial,Y,0,0,
93239,5,2021,Gas- Commercial,Y,0,0,
93239,6,2021,Gas- Commercial,Y,0,0,
93252,4,2021,Gas- Commercial,Y,0,0,
93252,5,2021,Gas- Commercial,Y,0,0,
93252,6,2021,Gas- Commercial,Y,0,0,
93263,4,2021,Gas- Commercial,Y,0,0,
93263,5,2021,Gas- Commercial,Y,0,0,
93263,6,2021,Gas- Commercial,Y,0,0,
93268,4,2021,Gas- Commercial,Y,0,0,
93268,5,2021,Gas- Commercial,Y,0,0,
93268,6,2021,Gas- Commercial,Y,0,0,
93280,4,2021,Gas- Commercial,Y,0,0,
93280,5,2021,Gas- Commercial,Y,0,0,
93280,6,2021,Gas- Commercial,Y,0,0,
93301,4,2021,Gas- Commercial,Y,"1,611","237,484",147
93301,5,2021,Gas- Commercial,N,"1,139","104,521",92
93301,6,2021,Gas- Commercial,Y,"3,522","500,188",142
93304,4,2021,Gas- Commercial,N,599,"79,177",132
93304,5,2021,Gas- Commercial,N,597,"76,458",128
93304,6,2021,Gas- Commercial,Y,0,0,
93305,4,2021,Gas- Commercial,Y,0,0,
93305,5,2021,Gas- Commercial,N,475,"56,376",119
93305,6,2021,Gas- Commercial,Y,0,0,
93306,4,2021,Gas- Commercial,N,372,"97,446",262
93306,5,2021,Gas- Commercial,Y,0,0,
93306,6,2021,Gas- Commercial,Y,0,0,
93307,4,2021,Gas- Commercial,Y,"1,309","281,555",215
93307,5,2021,Gas- Commercial,Y,"1,309","258,034",197
93307,6,2021,Gas- Commercial,Y,673,"85,595",127
93308,4,2021,Gas- Commercial,N,475,"92,643",195
93308,5,2021,Gas- Commercial,Y,849,"159,110",187
93308,6,2021,Gas- Commercial,Y,0,0,
93309,4,2021,Gas- Commercial,Y,667,"115,121",173
93309,5,2021,Gas- Commercial,Y,664,"103,357",156
93309,6,2021,Gas- Commercial,Y,0,0,
93311,4,2021,Gas- Commercial,Y,0,0,
93311,5,2021,Gas- Commercial,Y,0,0,
93311,6,2021,Gas- Commercial,Y,0,0,
93313,4,2021,Gas- Commercial,Y,0,0,
93313,5,2021,Gas- Commercial,Y,0,0,
93313,6,2021,Gas- Commercial,Y,843,"132,746",157
93314,4,2021,Gas- Commercial,Y,0,0,
93314,5,2021,Gas- Commercial,Y,0,0,
93314,6,2021,Gas- Commercial,Y,0,0,
93432,4,2021,Gas- Commercial,Y,0,0,
93432,5,2021,Gas- Commercial,Y,0,0,
93432,6,2021,Gas- Commercial,Y,0,0,
93446,4,2021,Gas- Commercial,Y,0,0,
93446,5,2021,Gas- Commercial,Y,0,0,
93446,6,2021,Gas- Commercial,Y,0,0,
93450,4,2021,Gas- Commercial,Y,0,0,
93450,5,2021,Gas- Commercial,Y,0,0,
93450,6,2021,Gas- Commercial,Y,0,0,
93461,4,2021,Gas- Commercial,Y,0,0,
93461,5,2021,Gas- Commercial,Y,0,0,
93461,6,2021,Gas- Commercial,Y,0,0,
93516,4,2021,Gas- Commercial,Y,0,0,
93516,5,2021,Gas- Commercial,Y,0,0,
93516,6,2021,Gas- Commercial,Y,0,0,
93523,4,2021,Gas- Commercial,Y,0,0,
93523,5,2021,Gas- Commercial,Y,0,0,
93523,6,2021,Gas- Commercial,Y,0,0,
93555,4,2021,Gas- Commercial,Y,609,"81,764",134
93555,5,2021,Gas- Commercial,Y,608,"63,341",104
93555,6,2021,Gas- Commercial,Y,608,"54,037",89
93561,4,2021,Gas- Commercial,Y,0,0,
93561,5,2021,Gas- Commercial,Y,0,0,
93561,6,2021,Gas- Commercial,Y,0,0,
93562,4,2021,Gas- Commercial,Y,0,0,
93562,5,2021,Gas- Commercial,Y,0,0,
93562,6,2021,Gas- Commercial,Y,0,0,
93608,4,2021,Gas- Commercial,Y,0,0,
93608,5,2021,Gas- Commercial,Y,0,0,
93608,6,2021,Gas- Commercial,Y,0,0,
93610,4,2021,Gas- Commercial,Y,0,0,
93610,5,2021,Gas- Commercial,Y,0,0,
93610,6,2021,Gas- Commercial,Y,0,0,
93611,4,2021,Gas- Commercial,Y,0,0,
93611,5,2021,Gas- Commercial,Y,0,0,
93611,6,2021,Gas- Commercial,Y,0,0,
93612,4,2021,Gas- Commercial,Y,"2,318","488,719",211
93612,5,2021,Gas- Commercial,Y,"2,316","430,691",186
93612,6,2021,Gas- Commercial,Y,"2,689","469,152",174
93616,4,2021,Gas- Commercial,Y,0,0,
93616,5,2021,Gas- Commercial,Y,0,0,
93616,6,2021,Gas- Commercial,Y,0,0,
93619,4,2021,Gas- Commercial,Y,0,0,
93619,5,2021,Gas- Commercial,Y,0,0,
93619,6,2021,Gas- Commercial,Y,0,0,
93620,4,2021,Gas- Commercial,Y,0,0,
93620,5,2021,Gas- Commercial,Y,0,0,
93620,6,2021,Gas- Commercial,Y,0,0,
93622,4,2021,Gas- Commercial,Y,0,0,
93622,5,2021,Gas- Commercial,Y,0,0,
93622,6,2021,Gas- Commercial,Y,0,0,
93625,4,2021,Gas- Commercial,Y,0,0,
93625,5,2021,Gas- Commercial,Y,0,0,
93625,6,2021,Gas- Commercial,Y,0,0,
93627,4,2021,Gas- Commercial,Y,0,0,
93627,5,2021,Gas- Commercial,Y,0,0,
93627,6,2021,Gas- Commercial,Y,0,0,
93630,4,2021,Gas- Commercial,Y,0,0,
93630,5,2021,Gas- Commercial,Y,0,0,
93630,6,2021,Gas- Commercial,Y,0,0,
93635,4,2021,Gas- Commercial,Y,591,"108,868",184
93635,5,2021,Gas- Commercial,Y,592,"97,696",165
93635,6,2021,Gas- Commercial,Y,592,"83,812",142
93636,4,2021,Gas- Commercial,Y,0,0,
93636,5,2021,Gas- Commercial,Y,0,0,
93636,6,2021,Gas- Commercial,Y,0,0,
93637,4,2021,Gas- Commercial,Y,774,"372,518",481
93637,5,2021,Gas- Commercial,Y,"1,205","429,221",356
93637,6,2021,Gas- Commercial,Y,878,"342,850",390
93638,4,2021,Gas- Commercial,N,318,"64,975",204
93638,5,2021,Gas- Commercial,Y,0,0,
93638,6,2021,Gas- Commercial,N,318,"52,525",165
93640,4,2021,Gas- Commercial,Y,0,0,
93640,5,2021,Gas- Commercial,Y,0,0,
93640,6,2021,Gas- Commercial,Y,0,0,
93650,4,2021,Gas- Commercial,N,115,"12,209",106
93650,5,2021,Gas- Commercial,Y,0,0,
93650,6,2021,Gas- Commercial,Y,0,0,
93657,4,2021,Gas- Commercial,Y,0,0,
93657,5,2021,Gas- Commercial,Y,0,0,
93657,6,2021,Gas- Commercial,Y,0,0,
93660,4,2021,Gas- Commercial,Y,0,0,
93660,5,2021,Gas- Commercial,Y,0,0,
93660,6,2021,Gas- Commercial,Y,0,0,
93662,4,2021,Gas- Commercial,Y,465,"99,485",214
93662,5,2021,Gas- Commercial,Y,468,"88,186",188
93662,6,2021,Gas- Commercial,N,363,"49,377",136
93668,4,2021,Gas- Commercial,Y,0,0,
93668,5,2021,Gas- Commercial,Y,0,0,
93668,6,2021,Gas- Commercial,Y,0,0,
93701,4,2021,Gas- Commercial,Y,0,0,
93701,5,2021,Gas- Commercial,Y,0,0,
93701,6,2021,Gas- Commercial,Y,0,0,
93702,4,2021,Gas- Commercial,Y,0,0,
93702,5,2021,Gas- Commercial,Y,0,0,
93702,6,2021,Gas- Commercial,Y,0,0,
93703,4,2021,Gas- Commercial,N,533,"82,981",156
93703,5,2021,Gas- Commercial,Y,0,0,
93703,6,2021,Gas- Commercial,Y,0,0,
93704,4,2021,Gas- Commercial,Y,0,0,
93704,5,2021,Gas- Commercial,Y,0,0,
93704,6,2021,Gas- Commercial,Y,0,0,
93705,4,2021,Gas- Commercial,Y,0,0,
93705,5,2021,Gas- Commercial,Y,0,0,
93705,6,2021,Gas- Commercial,Y,0,0,
93706,4,2021,Gas- Commercial,Y,0,0,
