ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
,,,Gas-,,,,
92304,4,2019,Gas- Commercial,Y,0,0,
92304,5,2019,Gas- Commercial,Y,0,0,
92304,6,2019,Gas- Commercial,Y,0,0,
92365,4,2019,Gas- Commercial,Y,0,0,
92365,5,2019,Gas- Commercial,Y,0,0,
92365,6,2019,Gas- Commercial,Y,0,0,
93203,4,2019,Gas- Commercial,Y,0,0,
93203,5,2019,Gas- Commercial,Y,0,0,
93203,6,2019,Gas- Commercial,Y,0,0,
93204,4,2019,Gas- Commercial,Y,0,0,
93204,5,2019,Gas- Commercial,Y,0,0,
93204,6,2019,Gas- Commercial,Y,0,0,
93210,4,2019,Gas- Commercial,Y,0,0,
93210,5,2019,Gas- Commercial,Y,0,0,
93210,6,2019,Gas- Commercial,Y,0,0,
93224,4,2019,Gas- Commercial,Y,0,0,
93224,5,2019,Gas- Commercial,Y,0,0,
93224,6,2019,Gas- Commercial,Y,0,0,
93234,4,2019,Gas- Commercial,Y,0,0,
93234,5,2019,Gas- Commercial,Y,0,0,
93234,6,2019,Gas- Commercial,Y,0,0,
93239,4,2019,Gas- Commercial,Y,0,0,
93239,5,2019,Gas- Commercial,Y,0,0,
93239,6,2019,Gas- Commercial,Y,0,0,
93252,4,2019,Gas- Commercial,Y,0,0,
93252,5,2019,Gas- Commercial,Y,0,0,
93252,6,2019,Gas- Commercial,Y,0,0,
93263,4,2019,Gas- Commercial,Y,0,0,
93263,5,2019,Gas- Commercial,Y,0,0,
93263,6,2019,Gas- Commercial,Y,0,0,
93268,4,2019,Gas- Commercial,Y,0,0,
93268,5,2019,Gas- Commercial,Y,0,0,
93268,6,2019,Gas- Commercial,Y,0,0,
93280,4,2019,Gas- Commercial,Y,0,0,
93280,5,2019,Gas- Commercial,Y,0,0,
93301,4,2019,Gas- Commercial,N,"1,149","163,925",143
93301,5,2019,Gas- Commercial,N,"1,149","141,170",123
93301,6,2019,Gas- Commercial,N,"1,151","102,938",89
93304,4,2019,Gas- Commercial,N,592,"84,682",143
93304,5,2019,Gas- Commercial,N,595,"87,040",146
93304,6,2019,Gas- Commercial,N,598,"80,627",135
93305,4,2019,Gas- Commercial,N,490,"64,892",132
93305,5,2019,Gas- Commercial,N,490,"65,183",133
93305,6,2019,Gas- Commercial,N,491,"50,795",103
93306,4,2019,Gas- Commercial,N,363,"97,004",267
93306,5,2019,Gas- Commercial,N,360,"91,522",254
93306,6,2019,Gas- Commercial,Y,0,0,
93307,4,2019,Gas- Commercial,Y,"1,269","256,805",202
93307,5,2019,Gas- Commercial,Y,666,"125,023",188
93307,6,2019,Gas- Commercial,Y,668,"88,508",132
93308,4,2019,Gas- Commercial,N,493,"90,575",184
93308,5,2019,Gas- Commercial,N,497,"94,556",190
93308,6,2019,Gas- Commercial,Y,857,"159,152",186
93309,4,2019,Gas- Commercial,Y,674,"109,410",162
93309,5,2019,Gas- Commercial,N,384,"61,766",161
93309,6,2019,Gas- Commercial,N,382,"52,055",136
93311,4,2019,Gas- Commercial,Y,0,0,
93311,5,2019,Gas- Commercial,Y,0,0,
93311,6,2019,Gas- Commercial,Y,0,0,
93313,4,2019,Gas- Commercial,Y,0,0,
93313,5,2019,Gas- Commercial,Y,892,"166,707",187
93313,6,2019,Gas- Commercial,Y,891,"128,043",144
93314,4,2019,Gas- Commercial,Y,0,0,
93314,5,2019,Gas- Commercial,Y,0,0,
93314,6,2019,Gas- Commercial,Y,0,0,
93432,4,2019,Gas- Commercial,Y,0,0,
93432,5,2019,Gas- Commercial,Y,0,0,
93432,6,2019,Gas- Commercial,Y,0,0,
93446,4,2019,Gas- Commercial,Y,0,0,
93446,5,2019,Gas- Commercial,Y,0,0,
93446,6,2019,Gas- Commercial,Y,0,0,
93450,4,2019,Gas- Commercial,Y,0,0,
93450,5,2019,Gas- Commercial,Y,0,0,
93450,6,2019,Gas- Commercial,Y,0,0,
93461,4,2019,Gas- Commercial,Y,0,0,
93461,5,2019,Gas- Commercial,Y,0,0,
93461,6,2019,Gas- Commercial,Y,0,0,
93516,4,2019,Gas- Commercial,Y,0,0,
93516,5,2019,Gas- Commercial,Y,0,0,
93516,6,2019,Gas- Commercial,Y,70,"7,524",107
93523,4,2019,Gas- Commercial,Y,0,0,
93523,5,2019,Gas- Commercial,Y,0,0,
93523,6,2019,Gas- Commercial,Y,0,0,
93555,4,2019,Gas- Commercial,Y,627,"81,312",130
93555,5,2019,Gas- Commercial,Y,616,"75,550",123
93555,6,2019,Gas- Commercial,Y,540,"46,075",85
93561,4,2019,Gas- Commercial,Y,0,0,
93561,5,2019,Gas- Commercial,Y,0,0,
93561,6,2019,Gas- Commercial,Y,0,0,
93562,4,2019,Gas- Commercial,Y,0,0,
93562,5,2019,Gas- Commercial,Y,0,0,
93562,6,2019,Gas- Commercial,Y,0,0,
93608,4,2019,Gas- Commercial,Y,0,0,
93608,5,2019,Gas- Commercial,Y,0,0,
93608,6,2019,Gas- Commercial,Y,0,0,
93610,4,2019,Gas- Commercial,Y,0,0,
93610,5,2019,Gas- Commercial,Y,0,0,
93610,6,2019,Gas- Commercial,Y,0,0,
93611,4,2019,Gas- Commercial,Y,0,0,
93611,5,2019,Gas- Commercial,Y,0,0,
93611,6,2019,Gas- Commercial,Y,0,0,
93612,4,2019,Gas- Commercial,Y,0,0,
93612,5,2019,Gas- Commercial,Y,0,0,
93612,6,2019,Gas- Commercial,Y,0,0,
93616,4,2019,Gas- Commercial,Y,0,0,
93616,5,2019,Gas- Commercial,Y,0,0,
93616,6,2019,Gas- Commercial,Y,0,0,
93619,4,2019,Gas- Commercial,Y,0,0,
93619,5,2019,Gas- Commercial,Y,0,0,
93619,6,2019,Gas- Commercial,Y,0,0,
93620,4,2019,Gas- Commercial,Y,0,0,
93620,5,2019,Gas- Commercial,Y,0,0,
93620,6,2019,Gas- Commercial,Y,0,0,
93622,4,2019,Gas- Commercial,Y,0,0,
93622,5,2019,Gas- Commercial,Y,0,0,
93622,6,2019,Gas- Commercial,Y,0,0,
93625,4,2019,Gas- Commercial,Y,0,0,
93625,5,2019,Gas- Commercial,Y,0,0,
93625,6,2019,Gas- Commercial,Y,0,0,
93627,4,2019,Gas- Commercial,Y,0,0,
93627,5,2019,Gas- Commercial,Y,0,0,
93627,6,2019,Gas- Commercial,Y,0,0,
93630,4,2019,Gas- Commercial,Y,0,0,
93630,5,2019,Gas- Commercial,Y,0,0,
93630,6,2019,Gas- Commercial,Y,0,0,
93631,4,2019,Gas- Commercial,Y,0,0,
93631,5,2019,Gas- Commercial,Y,0,0,
93631,6,2019,Gas- Commercial,Y,0,0,
93635,4,2019,Gas- Commercial,N,454,"84,422",186
93635,5,2019,Gas- Commercial,N,455,"83,341",183
93635,6,2019,Gas- Commercial,Y,0,0,
93636,4,2019,Gas- Commercial,Y,0,0,
93636,5,2019,Gas- Commercial,Y,0,0,
93636,6,2019,Gas- Commercial,Y,0,0,
93637,4,2019,Gas- Commercial,Y,883,"368,283",417
93637,5,2019,Gas- Commercial,Y,0,0,
93637,6,2019,Gas- Commercial,Y,879,"316,896",361
93638,4,2019,Gas- Commercial,Y,498,"92,227",185
93638,5,2019,Gas- Commercial,Y,496,"96,408",194
93638,6,2019,Gas- Commercial,Y,493,"72,080",146
93640,4,2019,Gas- Commercial,Y,0,0,
93640,5,2019,Gas- Commercial,Y,0,0,
93640,6,2019,Gas- Commercial,Y,0,0,
93650,4,2019,Gas- Commercial,N,130,"13,232",102
93650,5,2019,Gas- Commercial,Y,0,0,
93650,6,2019,Gas- Commercial,Y,0,0,
93657,4,2019,Gas- Commercial,Y,0,0,
93657,5,2019,Gas- Commercial,Y,0,0,
93657,6,2019,Gas- Commercial,N,323,"60,837",188
93660,4,2019,Gas- Commercial,Y,0,0,
93660,5,2019,Gas- Commercial,Y,0,0,
93660,6,2019,Gas- Commercial,Y,0,0,
93662,4,2019,Gas- Commercial,Y,463,"91,616",198
93662,5,2019,Gas- Commercial,Y,464,"90,336",195
93662,6,2019,Gas- Commercial,Y,358,"45,205",126
93668,4,2019,Gas- Commercial,Y,0,0,
93668,5,2019,Gas- Commercial,Y,0,0,
93668,6,2019,Gas- Commercial,Y,0,0,
93701,4,2019,Gas- Commercial,Y,0,0,
93701,5,2019,Gas- Commercial,Y,0,0,
93701,6,2019,Gas- Commercial,Y,0,0,
93702,4,2019,Gas- Commercial,Y,0,0,
93702,5,2019,Gas- Commercial,Y,0,0,
93702,6,2019,Gas- Commercial,Y,0,0,
93703,4,2019,Gas- Commercial,Y,0,0,
93703,5,2019,Gas- Commercial,Y,0,0,
93703,6,2019,Gas- Commercial,Y,0,0,
93704,4,2019,Gas- Commercial,Y,0,0,
93704,5,2019,Gas- Commercial,Y,0,0,
93704,6,2019,Gas- Commercial,Y,0,0,
93705,4,2019,Gas- Commercial,Y,0,0,
93705,5,2019,Gas- Commercial,Y,0,0,
93705,6,2019,Gas- Commercial,Y,0,0,
93706,4,2019,Gas- Commercial,Y,0,0,
93706,5,2019,Gas- Commercial,Y,0,0,
93706,6,2019,Gas- Commercial,Y,0,0,
93710,4,2019,Gas- Commercial,Y,0,0,
93710,5,2019,Gas- Commercial,Y,0,0,
93710,6,2019,Gas- Commercial,Y,0,0,
93711,4,2019,Gas- Commercial,Y,"6,521","1,546,873",237
93711,5,2019,Gas- Commercial,Y,"6,665","1,763,403",265
93711,6,2019,Gas- Commercial,Y,"11,163","2,041,300",183
93720,4,2019,Gas- Commercial,Y,"3,353","690,298",206
93720,5,2019,Gas- Commercial,Y,"2,463","565,925",230
93720,6,2019,Gas- Commercial,Y,0,0,
93721,4,2019,Gas- Commercial,Y,0,0,
93721,5,2019,Gas- Commercial,Y,0,0,
93721,6,2019,Gas- Commercial,Y,0,0,
93722,4,2019,Gas- Commercial,Y,0,0,
93722,5,2019,Gas- Commercial,Y,0,0,
93722,6,2019,Gas- Commercial,Y,0,0,
93723,4,2019,Gas- Commercial,Y,0,0,
93723,5,2019,Gas- Commercial,Y,0,0,
93723,6,2019,Gas- Commercial,Y,0,0,
93725,4,2019,Gas- Commercial,Y,0,0,
93725,5,2019,Gas- Commercial,Y,0,0,
93725,6,2019,Gas- Commercial,Y,0,0,
93726,4,2019,Gas- Commercial,Y,0,0,
93726,5,2019,Gas- Commercial,Y,0,0,
93726,6,2019,Gas- Commercial,Y,0,0,
93727,4,2019,Gas- Commercial,Y,"1,394","231,841",166
93727,5,2019,Gas- Commercial,Y,"3,141","662,181",211
93727,6,2019,Gas- Commercial,Y,0,0,
93728,4,2019,Gas- Commercial,Y,0,0,
93728,5,2019,Gas- Commercial,Y,0,0,
93728,6,2019,Gas- Commercial,Y,0,0,
93730,4,2019,Gas- Commercial,Y,0,0,
93730,5,2019,Gas- Commercial,Y,0,0,
93730,6,2019,Gas- Commercial,Y,0,0,
93740,4,2019,Gas- Commercial,Y,0,0,
93740,5,2019,Gas- Commercial,Y,0,0,
93740,6,2019,Gas- Commercial,Y,0,0,
93741,4,2019,Gas- Commercial,Y,0,0,
93741,5,2019,Gas- Commercial,Y,0,0,
93741,6,2019,Gas- Commercial,Y,0,0,
93901,4,2019,Gas- Commercial,Y,"1,196","494,883",414
93901,5,2019,Gas- Commercial,Y,"1,196","501,331",419
93901,6,2019,Gas- Commercial,Y,"1,195","435,082",364
93905,4,2019,Gas- Commercial,Y,410,"128,555",314
93905,5,2019,Gas- Commercial,Y,484,"161,307",333
93905,6,2019,Gas- Commercial,Y,406,"122,904",303
93906,4,2019,Gas- Commercial,N,393,"135,979",346
93906,5,2019,Gas- Commercial,N,395,"135,508",343
93906,6,2019,Gas- Commercial,N,396,"119,607",302
93907,4,2019,Gas- Commercial,Y,0,0,
93907,5,2019,Gas- Commercial,Y,0,0,
93907,6,2019,Gas- Commercial,Y,0,0,
93908,4,2019,Gas- Commercial,Y,0,0,
93908,5,2019,Gas- Commercial,Y,0,0,
93908,6,2019,Gas- Commercial,Y,0,0,
93921,4,2019,Gas- Commercial,N,164,"49,413",301
93921,5,2019,Gas- Commercial,N,165,"50,035",303
93921,6,2019,Gas- Commercial,N,166,"44,671",269
93923,4,2019,Gas- Commercial,Y,0,0,
93923,5,2019,Gas- Commercial,Y,0,0,
93923,6,2019,Gas- Commercial,Y,438,"147,291",336
93924,4,2019,Gas- Commercial,Y,0,0,
93924,5,2019,Gas- Commercial,Y,0,0,
93924,6,2019,Gas- Commercial,Y,0,0,
93925,4,2019,Gas- Commercial,Y,0,0,
93925,5,2019,Gas- Commercial,Y,0,0,
93925,6,2019,Gas- Commercial,Y,0,0,
93926,4,2019,Gas- Commercial,Y,0,0,
93926,5,2019,Gas- Commercial,Y,0,0,
93926,6,2019,Gas- Commercial,Y,0,0,
93927,4,2019,Gas- Commercial,Y,0,0,
93927,5,2019,Gas- Commercial,Y,0,0,
93927,6,2019,Gas- Commercial,Y,0,0,
93930,4,2019,Gas- Commercial,Y,476,"197,519",415
93930,5,2019,Gas- Commercial,Y,653,"278,121",426
93930,6,2019,Gas- Commercial,Y,730,"301,073",412
93933,4,2019,Gas- Commercial,N,306,"68,234",223
93933,5,2019,Gas- Commercial,N,307,"70,260",229
93933,6,2019,Gas- Commercial,N,307,"62,841",205
93940,4,2019,Gas- Commercial,Y,"1,833","862,624",471
93940,5,2019,Gas- Commercial,Y,"1,832","865,266",472
93940,6,2019,Gas- Commercial,Y,"1,388","566,257",408
93944,4,2019,Gas- Commercial,Y,0,0,
93944,5,2019,Gas- Commercial,Y,0,0,
93944,6,2019,Gas- Commercial,Y,0,0,
93950,4,2019,Gas- Commercial,Y,0,0,
93950,5,2019,Gas- Commercial,Y,0,0,
93950,6,2019,Gas- Commercial,Y,0,0,
93953,4,2019,Gas- Commercial,Y,0,0,
93953,5,2019,Gas- Commercial,Y,0,0,
93953,6,2019,Gas- Commercial,Y,0,0,
93955,4,2019,Gas- Commercial,N,464,"108,815",235
93955,5,2019,Gas- Commercial,N,463,"105,980",229
93955,6,2019,Gas- Commercial,N,464,"83,066",179
93960,4,2019,Gas- Commercial,Y,253,"83,008",328
93960,5,2019,Gas- Commercial,Y,0,0,
93960,6,2019,Gas- Commercial,Y,0,0,
94002,4,2019,Gas- Commercial,N,455,"99,276",218
94002,5,2019,Gas- Commercial,N,455,"101,849",224
94002,6,2019,Gas- Commercial,Y,0,0,
94005,4,2019,Gas- Commercial,Y,0,0,
94005,5,2019,Gas- Commercial,Y,0,0,
94005,6,2019,Gas- Commercial,Y,0,0,
94010,4,2019,Gas- Commercial,N,818,"344,569",421
94010,5,2019,Gas- Commercial,N,819,"335,849",410
94010,6,2019,Gas- Commercial,N,820,"257,132",314
94014,4,2019,Gas- Commercial,Y,549,"234,048",426
94014,5,2019,Gas- Commercial,Y,0,0,
94014,6,2019,Gas- Commercial,Y,0,0,
94015,4,2019,Gas- Commercial,N,279,"203,648",730
94015,5,2019,Gas- Commercial,N,281,"223,868",797
94015,6,2019,Gas- Commercial,N,282,"194,302",689
94019,4,2019,Gas- Commercial,N,229,"63,302",276
94019,5,2019,Gas- Commercial,N,228,"62,899",276
94019,6,2019,Gas- Commercial,N,228,"54,781",240
94022,4,2019,Gas- Commercial,Y,0,0,
94022,5,2019,Gas- Commercial,Y,0,0,
94022,6,2019,Gas- Commercial,N,342,"59,262",173
94024,4,2019,Gas- Commercial,Y,0,0,
94024,5,2019,Gas- Commercial,Y,0,0,
94024,6,2019,Gas- Commercial,Y,0,0,
94025,4,2019,Gas- Commercial,Y,0,0,
94025,5,2019,Gas- Commercial,Y,0,0,
94025,6,2019,Gas- Commercial,Y,"1,079","408,887",379
94027,4,2019,Gas- Commercial,Y,0,0,
94027,5,2019,Gas- Commercial,Y,0,0,
94027,6,2019,Gas- Commercial,Y,0,0,
94028,4,2019,Gas- Commercial,Y,0,0,
94028,5,2019,Gas- Commercial,Y,0,0,
94028,6,2019,Gas- Commercial,Y,57,"20,224",355
94030,4,2019,Gas- Commercial,Y,0,0,
94030,5,2019,Gas- Commercial,Y,0,0,
94030,6,2019,Gas- Commercial,Y,0,0,
94038,4,2019,Gas- Commercial,Y,0,0,
94038,5,2019,Gas- Commercial,Y,0,0,
94038,6,2019,Gas- Commercial,Y,0,0,
94040,4,2019,Gas- Commercial,Y,0,0,
94040,5,2019,Gas- Commercial,Y,0,0,
94040,6,2019,Gas- Commercial,Y,0,0,
94041,4,2019,Gas- Commercial,Y,0,0,
94041,5,2019,Gas- Commercial,Y,0,0,
94041,6,2019,Gas- Commercial,Y,0,0,
94043,4,2019,Gas- Commercial,Y,"1,580","826,651",523
94043,5,2019,Gas- Commercial,Y,"1,584","836,947",528
94043,6,2019,Gas- Commercial,Y,"1,266","395,253",312
94044,4,2019,Gas- Commercial,Y,308,"74,695",243
94044,5,2019,Gas- Commercial,Y,311,"77,034",248
94044,6,2019,Gas- Commercial,Y,311,"68,876",221
94061,4,2019,Gas- Commercial,Y,0,0,
94061,5,2019,Gas- Commercial,Y,0,0,
94061,6,2019,Gas- Commercial,Y,0,0,
94062,4,2019,Gas- Commercial,Y,0,0,
94062,5,2019,Gas- Commercial,Y,221,"78,308",354
94062,6,2019,Gas- Commercial,N,164,"25,967",158
94063,4,2019,Gas- Commercial,Y,"2,093","969,455",463
94063,5,2019,Gas- Commercial,Y,"2,092","983,518",470
94063,6,2019,Gas- Commercial,N,"1,029","338,861",329
94065,4,2019,Gas- Commercial,Y,0,0,
94065,5,2019,Gas- Commercial,Y,0,0,
94065,6,2019,Gas- Commercial,Y,0,0,
94066,4,2019,Gas- Commercial,Y,0,0,
94066,5,2019,Gas- Commercial,Y,0,0,
94066,6,2019,Gas- Commercial,Y,0,0,
94070,4,2019,Gas- Commercial,N,968,"173,927",180
94070,5,2019,Gas- Commercial,N,965,"176,792",183
94070,6,2019,Gas- Commercial,N,963,"139,106",144
94080,4,2019,Gas- Commercial,Y,"1,796","1,454,788",810
94080,5,2019,Gas- Commercial,Y,"2,345","1,824,300",778
94080,6,2019,Gas- Commercial,Y,"2,346","1,493,677",637
94085,4,2019,Gas- Commercial,Y,0,0,
94085,5,2019,Gas- Commercial,Y,0,0,
94085,6,2019,Gas- Commercial,Y,0,0,
94086,4,2019,Gas- Commercial,Y,0,0,
94086,5,2019,Gas- Commercial,Y,0,0,
94086,6,2019,Gas- Commercial,Y,0,0,
94087,4,2019,Gas- Commercial,Y,0,0,
94087,5,2019,Gas- Commercial,Y,0,0,
94087,6,2019,Gas- Commercial,Y,0,0,
