ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
,,,Gas-,,,,
92304,1,2018,Gas- Commercial,Y,0,0,
92304,2,2018,Gas- Commercial,Y,0,0,
92304,3,2018,Gas- Commercial,Y,0,0,
92365,1,2018,Gas- Commercial,Y,0,0,
92365,2,2018,Gas- Commercial,Y,0,0,
92365,3,2018,Gas- Commercial,Y,0,0,
93203,1,2018,Gas- Commercial,Y,0,0,
93203,2,2018,Gas- Commercial,Y,0,0,
93203,3,2018,Gas- Commercial,Y,0,0,
93204,1,2018,Gas- Commercial,Y,0,0,
93204,2,2018,Gas- Commercial,Y,0,0,
93204,3,2018,Gas- Commercial,Y,0,0,
93210,1,2018,Gas- Commercial,Y,0,0,
93210,2,2018,Gas- Commercial,Y,0,0,
93210,3,2018,Gas- Commercial,Y,0,0,
93224,1,2018,Gas- Commercial,Y,0,0,
93224,2,2018,Gas- Commercial,Y,0,0,
93224,3,2018,Gas- Commercial,Y,0,0,
93234,1,2018,Gas- Commercial,Y,0,0,
93234,2,2018,Gas- Commercial,Y,0,0,
93234,3,2018,Gas- Commercial,Y,0,0,
93239,1,2018,Gas- Commercial,Y,0,0,
93239,2,2018,Gas- Commercial,Y,0,0,
93239,3,2018,Gas- Commercial,Y,0,0,
93252,1,2018,Gas- Commercial,Y,0,0,
93252,2,2018,Gas- Commercial,Y,0,0,
93252,3,2018,Gas- Commercial,Y,0,0,
93263,1,2018,Gas- Commercial,Y,0,0,
93263,2,2018,Gas- Commercial,Y,0,0,
93263,3,2018,Gas- Commercial,Y,0,0,
93268,1,2018,Gas- Commercial,Y,266,"39,916",150
93268,2,2018,Gas- Commercial,Y,265,"34,826",131
93268,3,2018,Gas- Commercial,Y,267,"32,635",122
93280,1,2018,Gas- Commercial,Y,0,0,
93280,2,2018,Gas- Commercial,Y,0,0,
93280,3,2018,Gas- Commercial,Y,0,0,
93301,1,2018,Gas- Commercial,N,"1,161","285,157",246
93301,2,2018,Gas- Commercial,N,"1,163","263,870",227
93301,3,2018,Gas- Commercial,N,"1,167","207,952",178
93304,1,2018,Gas- Commercial,N,599,"140,104",234
93304,2,2018,Gas- Commercial,N,600,"127,095",212
93304,3,2018,Gas- Commercial,N,598,"110,113",184
93305,1,2018,Gas- Commercial,N,497,"120,991",243
93305,2,2018,Gas- Commercial,N,499,"97,338",195
93305,3,2018,Gas- Commercial,N,503,"88,954",177
93306,1,2018,Gas- Commercial,N,366,"132,813",363
93306,2,2018,Gas- Commercial,N,365,"116,413",319
