ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,1,2019,Gas- Commercial,Y,0,0,
92304,2,2019,Gas- Commercial,Y,0,0,
92304,3,2019,Gas- Commercial,Y,0,0,
92365,1,2019,Gas- Commercial,Y,0,0,
92365,2,2019,Gas- Commercial,Y,0,0,
92365,3,2019,Gas- Commercial,Y,0,0,
93203,1,2019,Gas- Commercial,Y,0,0,
93203,2,2019,Gas- Commercial,Y,0,0,
93203,3,2019,Gas- Commercial,Y,0,0,
93204,1,2019,Gas- Commercial,Y,0,0,
93204,2,2019,Gas- Commercial,Y,0,0,
93204,3,2019,Gas- Commercial,Y,0,0,
93210,1,2019,Gas- Commercial,Y,0,0,
93210,2,2019,Gas- Commercial,Y,0,0,
93210,3,2019,Gas- Commercial,Y,0,0,
93224,1,2019,Gas- Commercial,Y,0,0,
93224,2,2019,Gas- Commercial,Y,0,0,
93224,3,2019,Gas- Commercial,Y,0,0,
93234,1,2019,Gas- Commercial,Y,0,0,
93234,2,2019,Gas- Commercial,Y,0,0,
93234,3,2019,Gas- Commercial,Y,0,0,
93239,1,2019,Gas- Commercial,Y,0,0,
93239,2,2019,Gas- Commercial,Y,48,"15,424",321
93239,3,2019,Gas- Commercial,Y,0,0,
93252,1,2019,Gas- Commercial,Y,0,0,
93252,2,2019,Gas- Commercial,Y,0,0,
93252,3,2019,Gas- Commercial,Y,0,0,
93263,1,2019,Gas- Commercial,Y,0,0,
93263,2,2019,Gas- Commercial,Y,0,0,
93263,3,2019,Gas- Commercial,Y,0,0,
93268,1,2019,Gas- Commercial,Y,0,0,
93268,2,2019,Gas- Commercial,Y,0,0,
93268,3,2019,Gas- Commercial,Y,0,0,
93280,2,2019,Gas- Commercial,Y,0,0,
93280,3,2019,Gas- Commercial,Y,0,0,
93301,1,2019,Gas- Commercial,Y,"5,061","1,986,187",392
93301,2,2019,Gas- Commercial,Y,"1,449","413,327",285
93301,3,2019,Gas- Commercial,N,"1,154","201,107",174
93304,1,2019,Gas- Commercial,Y,0,0,
93304,2,2019,Gas- Commercial,Y,0,0,
93304,3,2019,Gas- Commercial,N,599,"120,869",202
93305,1,2019,Gas- Commercial,Y,0,0,
93305,2,2019,Gas- Commercial,N,491,"139,264",284
93305,3,2019,Gas- Commercial,N,496,"98,800",199
93306,1,2019,Gas- Commercial,Y,0,0,
93306,2,2019,Gas- Commercial,N,362,"176,103",486
93306,3,2019,Gas- Commercial,N,362,"139,742",386
93307,1,2019,Gas- Commercial,Y,0,0,
93307,2,2019,Gas- Commercial,Y,"2,252","960,343",426
93307,3,2019,Gas- Commercial,Y,665,"205,554",309
93308,1,2019,Gas- Commercial,Y,0,0,
93308,2,2019,Gas- Commercial,N,491,"165,588",337
93308,3,2019,Gas- Commercial,Y,497,"127,708",257
93309,1,2019,Gas- Commercial,Y,0,0,
93309,2,2019,Gas- Commercial,Y,0,0,
93309,3,2019,Gas- Commercial,N,386,"95,644",248
93311,1,2019,Gas- Commercial,Y,0,0,
93311,2,2019,Gas- Commercial,Y,0,0,
93311,3,2019,Gas- Commercial,Y,0,0,
93313,1,2019,Gas- Commercial,Y,0,0,
93313,2,2019,Gas- Commercial,Y,0,0,
93313,3,2019,Gas- Commercial,Y,894,"276,957",310
93314,1,2019,Gas- Commercial,Y,0,0,
93314,2,2019,Gas- Commercial,Y,0,0,
93314,3,2019,Gas- Commercial,Y,0,0,
93432,1,2019,Gas- Commercial,Y,0,0,
93432,2,2019,Gas- Commercial,Y,0,0,
93432,3,2019,Gas- Commercial,Y,0,0,
93446,1,2019,Gas- Commercial,Y,0,0,
93446,2,2019,Gas- Commercial,Y,0,0,
93446,3,2019,Gas- Commercial,Y,0,0,
93450,1,2019,Gas- Commercial,Y,0,0,
93450,2,2019,Gas- Commercial,Y,0,0,
93450,3,2019,Gas- Commercial,Y,0,0,
93461,1,2019,Gas- Commercial,Y,0,0,
93461,2,2019,Gas- Commercial,Y,0,0,
93461,3,2019,Gas- Commercial,Y,0,0,
93516,1,2019,Gas- Commercial,Y,0,0,
93516,2,2019,Gas- Commercial,Y,0,0,
93516,3,2019,Gas- Commercial,Y,0,0,
93523,1,2019,Gas- Commercial,Y,0,0,
93523,2,2019,Gas- Commercial,Y,0,0,
93523,3,2019,Gas- Commercial,Y,0,0,
93555,1,2019,Gas- Commercial,Y,627,"215,403",344
93555,2,2019,Gas- Commercial,Y,636,"243,446",383
93555,3,2019,Gas- Commercial,Y,634,"167,059",264
93561,1,2019,Gas- Commercial,Y,0,0,
93561,2,2019,Gas- Commercial,Y,0,0,
93561,3,2019,Gas- Commercial,Y,0,0,
93562,1,2019,Gas- Commercial,Y,0,0,
93562,2,2019,Gas- Commercial,Y,0,0,
93562,3,2019,Gas- Commercial,Y,0,0,
93608,1,2019,Gas- Commercial,Y,0,0,
93608,2,2019,Gas- Commercial,Y,0,0,
93608,3,2019,Gas- Commercial,Y,0,0,
93610,1,2019,Gas- Commercial,Y,0,0,
93610,2,2019,Gas- Commercial,Y,0,0,
93610,3,2019,Gas- Commercial,Y,0,0,
93611,1,2019,Gas- Commercial,Y,0,0,
93611,2,2019,Gas- Commercial,Y,0,0,
93611,3,2019,Gas- Commercial,Y,0,0,
93612,1,2019,Gas- Commercial,Y,0,0,
93612,2,2019,Gas- Commercial,Y,"1,406","561,264",399
93612,3,2019,Gas- Commercial,Y,0,0,
93616,1,2019,Gas- Commercial,Y,0,0,
93616,2,2019,Gas- Commercial,Y,0,0,
93616,3,2019,Gas- Commercial,Y,0,0,
93619,1,2019,Gas- Commercial,Y,0,0,
93619,2,2019,Gas- Commercial,Y,0,0,
93619,3,2019,Gas- Commercial,Y,0,0,
93620,1,2019,Gas- Commercial,Y,0,0,
93620,2,2019,Gas- Commercial,Y,0,0,
93620,3,2019,Gas- Commercial,Y,0,0,
93622,1,2019,Gas- Commercial,Y,0,0,
93622,2,2019,Gas- Commercial,Y,0,0,
93622,3,2019,Gas- Commercial,Y,0,0,
93625,1,2019,Gas- Commercial,Y,0,0,
93625,2,2019,Gas- Commercial,Y,0,0,
93625,3,2019,Gas- Commercial,Y,0,0,
93627,1,2019,Gas- Commercial,Y,0,0,
93627,2,2019,Gas- Commercial,Y,0,0,
93627,3,2019,Gas- Commercial,Y,0,0,
93630,1,2019,Gas- Commercial,Y,0,0,
93630,2,2019,Gas- Commercial,Y,0,0,
93630,3,2019,Gas- Commercial,Y,0,0,
93631,1,2019,Gas- Commercial,Y,0,0,
93631,2,2019,Gas- Commercial,Y,0,0,
93631,3,2019,Gas- Commercial,Y,0,0,
93635,1,2019,Gas- Commercial,N,447,"166,915",373
93635,2,2019,Gas- Commercial,Y,0,0,
93635,3,2019,Gas- Commercial,Y,0,0,
93636,1,2019,Gas- Commercial,Y,0,0,
93636,2,2019,Gas- Commercial,Y,0,0,
93636,3,2019,Gas- Commercial,Y,0,0,
93637,1,2019,Gas- Commercial,Y,"1,414","722,513",511
93637,2,2019,Gas- Commercial,Y,0,0,
93637,3,2019,Gas- Commercial,Y,0,0,
93638,1,2019,Gas- Commercial,Y,0,0,
93638,2,2019,Gas- Commercial,Y,0,0,
93638,3,2019,Gas- Commercial,Y,0,0,
93640,1,2019,Gas- Commercial,Y,0,0,
93640,2,2019,Gas- Commercial,Y,0,0,
93640,3,2019,Gas- Commercial,Y,0,0,
93650,1,2019,Gas- Commercial,N,131,"37,990",290
93650,2,2019,Gas- Commercial,N,130,"37,134",286
93650,3,2019,Gas- Commercial,N,129,"24,278",188
93657,1,2019,Gas- Commercial,Y,0,0,
93657,2,2019,Gas- Commercial,Y,0,0,
93657,3,2019,Gas- Commercial,Y,0,0,
93660,1,2019,Gas- Commercial,Y,0,0,
93660,2,2019,Gas- Commercial,Y,0,0,
93660,3,2019,Gas- Commercial,Y,0,0,
93662,1,2019,Gas- Commercial,Y,0,0,
93662,2,2019,Gas- Commercial,Y,797,"381,575",479
93662,3,2019,Gas- Commercial,Y,657,"255,779",389
93668,1,2019,Gas- Commercial,Y,0,0,
93668,2,2019,Gas- Commercial,Y,0,0,
93668,3,2019,Gas- Commercial,Y,0,0,
93701,1,2019,Gas- Commercial,Y,0,0,
93701,2,2019,Gas- Commercial,Y,0,0,
93701,3,2019,Gas- Commercial,Y,0,0,
93702,1,2019,Gas- Commercial,Y,0,0,
93702,2,2019,Gas- Commercial,Y,0,0,
93702,3,2019,Gas- Commercial,Y,0,0,
93703,1,2019,Gas- Commercial,Y,0,0,
93703,2,2019,Gas- Commercial,Y,0,0,
93703,3,2019,Gas- Commercial,Y,0,0,
93704,1,2019,Gas- Commercial,Y,0,0,
93704,2,2019,Gas- Commercial,Y,0,0,
93704,3,2019,Gas- Commercial,Y,0,0,
93705,1,2019,Gas- Commercial,Y,0,0,
93705,2,2019,Gas- Commercial,Y,0,0,
93705,3,2019,Gas- Commercial,Y,0,0,
93706,1,2019,Gas- Commercial,Y,"2,527","1,634,082",647
93706,2,2019,Gas- Commercial,Y,"1,936","1,338,243",691
93706,3,2019,Gas- Commercial,Y,"3,639","1,601,724",440
93710,1,2019,Gas- Commercial,Y,0,0,
93710,2,2019,Gas- Commercial,Y,0,0,
93710,3,2019,Gas- Commercial,Y,0,0,
93711,1,2019,Gas- Commercial,Y,"1,187","270,703",228
93711,2,2019,Gas- Commercial,N,"1,180","265,304",225
93711,3,2019,Gas- Commercial,Y,"2,282","511,755",224
93720,1,2019,Gas- Commercial,Y,"3,336","1,344,388",403
93720,2,2019,Gas- Commercial,Y,"1,946","804,365",413
93720,3,2019,Gas- Commercial,Y,"3,350","1,031,430",308
93721,1,2019,Gas- Commercial,Y,0,0,
93721,2,2019,Gas- Commercial,Y,0,0,
93721,3,2019,Gas- Commercial,Y,0,0,
93722,1,2019,Gas- Commercial,N,870,"346,991",399
93722,2,2019,Gas- Commercial,Y,"2,187","1,081,703",495
93722,3,2019,Gas- Commercial,Y,0,0,
93723,1,2019,Gas- Commercial,Y,0,0,
93723,2,2019,Gas- Commercial,Y,0,0,
93723,3,2019,Gas- Commercial,Y,0,0,
93725,1,2019,Gas- Commercial,Y,0,0,
93725,2,2019,Gas- Commercial,Y,0,0,
93725,3,2019,Gas- Commercial,Y,0,0,
93726,1,2019,Gas- Commercial,Y,"1,788","635,816",356
93726,2,2019,Gas- Commercial,Y,"1,566","572,725",366
93726,3,2019,Gas- Commercial,Y,642,"150,743",235
93727,1,2019,Gas- Commercial,Y,"2,264","886,517",392
93727,2,2019,Gas- Commercial,Y,"1,796","685,101",381
93727,3,2019,Gas- Commercial,Y,"1,397","441,530",316
93728,1,2019,Gas- Commercial,Y,0,0,
93728,2,2019,Gas- Commercial,Y,0,0,
93728,3,2019,Gas- Commercial,Y,0,0,
93730,1,2019,Gas- Commercial,Y,0,0,
93730,2,2019,Gas- Commercial,Y,0,0,
93730,3,2019,Gas- Commercial,Y,0,0,
93740,1,2019,Gas- Commercial,Y,0,0,
93740,2,2019,Gas- Commercial,Y,0,0,
93740,3,2019,Gas- Commercial,Y,0,0,
93741,1,2019,Gas- Commercial,Y,0,0,
93741,2,2019,Gas- Commercial,Y,0,0,
93741,3,2019,Gas- Commercial,Y,0,0,
93901,1,2019,Gas- Commercial,Y,"1,190","819,787",689
93901,2,2019,Gas- Commercial,Y,"1,198","816,229",681
93901,3,2019,Gas- Commercial,N,"1,075","291,439",271
93905,1,2019,Gas- Commercial,Y,406,"170,001",419
93905,2,2019,Gas- Commercial,Y,401,"178,663",446
93905,3,2019,Gas- Commercial,N,384,"154,589",403
93906,1,2019,Gas- Commercial,N,393,"192,290",489
93906,2,2019,Gas- Commercial,N,394,"201,424",511
93906,3,2019,Gas- Commercial,N,394,"174,572",443
93907,1,2019,Gas- Commercial,Y,355,"151,438",427
93907,2,2019,Gas- Commercial,Y,356,"158,502",445
93907,3,2019,Gas- Commercial,Y,354,"127,605",360
93908,1,2019,Gas- Commercial,Y,0,0,
93908,2,2019,Gas- Commercial,Y,0,0,
93908,3,2019,Gas- Commercial,Y,135,"379,672","2,812"
93921,1,2019,Gas- Commercial,N,164,"55,922",341
93921,2,2019,Gas- Commercial,N,164,"57,607",351
93921,3,2019,Gas- Commercial,N,164,"55,794",340
93923,1,2019,Gas- Commercial,Y,0,0,
93923,2,2019,Gas- Commercial,Y,441,"240,339",545
93923,3,2019,Gas- Commercial,Y,0,0,
93924,1,2019,Gas- Commercial,Y,0,0,
93924,2,2019,Gas- Commercial,Y,0,0,
93924,3,2019,Gas- Commercial,Y,0,0,
93925,1,2019,Gas- Commercial,Y,0,0,
93925,2,2019,Gas- Commercial,Y,0,0,
93925,3,2019,Gas- Commercial,Y,0,0,
93926,1,2019,Gas- Commercial,Y,0,0,
93926,2,2019,Gas- Commercial,Y,0,0,
93926,3,2019,Gas- Commercial,Y,0,0,
93927,1,2019,Gas- Commercial,Y,0,0,
93927,2,2019,Gas- Commercial,Y,0,0,
93927,3,2019,Gas- Commercial,Y,0,0,
93930,1,2019,Gas- Commercial,Y,579,"225,530",390
93930,2,2019,Gas- Commercial,Y,590,"230,866",391
93930,3,2019,Gas- Commercial,N,204,"101,214",496
93933,1,2019,Gas- Commercial,N,308,"90,885",295
93933,2,2019,Gas- Commercial,N,308,"92,406",300
93933,3,2019,Gas- Commercial,N,306,"83,140",272
93940,1,2019,Gas- Commercial,Y,"1,835","1,110,367",605
93940,2,2019,Gas- Commercial,Y,"1,395","906,300",650
93940,3,2019,Gas- Commercial,Y,"1,835","1,055,857",575
93944,1,2019,Gas- Commercial,Y,0,0,
93944,2,2019,Gas- Commercial,Y,0,0,
93944,3,2019,Gas- Commercial,Y,0,0,
93950,1,2019,Gas- Commercial,Y,0,0,
93950,2,2019,Gas- Commercial,Y,0,0,
93950,3,2019,Gas- Commercial,Y,0,0,
93953,1,2019,Gas- Commercial,Y,0,0,
93953,2,2019,Gas- Commercial,Y,0,0,
93953,3,2019,Gas- Commercial,Y,0,0,
93955,1,2019,Gas- Commercial,N,468,"153,662",328
93955,2,2019,Gas- Commercial,N,466,"163,770",351
93955,3,2019,Gas- Commercial,N,464,"144,421",311
93960,1,2019,Gas- Commercial,Y,0,0,
93960,2,2019,Gas- Commercial,Y,0,0,
93960,3,2019,Gas- Commercial,Y,373,"125,402",336
94002,1,2019,Gas- Commercial,N,454,"141,160",311
94002,2,2019,Gas- Commercial,N,457,"152,704",334
94002,3,2019,Gas- Commercial,N,454,"137,674",303
94005,1,2019,Gas- Commercial,Y,0,0,
94005,2,2019,Gas- Commercial,N,143,"133,118",931
94005,3,2019,Gas- Commercial,N,142,"109,762",773
94010,1,2019,Gas- Commercial,N,818,"506,630",619
94010,2,2019,Gas- Commercial,N,819,"527,538",644
94010,3,2019,Gas- Commercial,N,819,"471,749",576
94014,1,2019,Gas- Commercial,Y,0,0,
94014,2,2019,Gas- Commercial,N,402,"179,779",447
94014,3,2019,Gas- Commercial,N,402,"157,422",392
94015,1,2019,Gas- Commercial,N,278,"230,545",829
94015,2,2019,Gas- Commercial,N,279,"236,878",849
94015,3,2019,Gas- Commercial,N,278,"223,105",803
94018,2,2019,Gas- Commercial,N,55,"10,947",199
94018,3,2019,Gas- Commercial,N,55,"11,335",206
94019,1,2019,Gas- Commercial,N,234,"79,758",341
94019,2,2019,Gas- Commercial,N,233,"87,860",377
94019,3,2019,Gas- Commercial,N,231,"82,176",356
94022,1,2019,Gas- Commercial,Y,393,"173,509",441
94022,2,2019,Gas- Commercial,Y,393,"176,742",450
94022,3,2019,Gas- Commercial,Y,0,0,
94024,1,2019,Gas- Commercial,Y,0,0,
94024,2,2019,Gas- Commercial,Y,0,0,
94024,3,2019,Gas- Commercial,Y,0,0,
94025,1,2019,Gas- Commercial,Y,839,"792,487",945
