Source: EMFAC2021 (v1.0.1) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Air District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: Bay Area AQMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendar Year: 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Bay Area AQMD,2014,LDT1,Aggregate,Aggregate,Diesel,401.2381437,7090.817797,7090.817797,0,1451.126875,1.494690307,0,0,0.183491182,0,0,0.002000001,0.003610968,0.191787839,0,0,0.008000002,0.010317051,452.0269454,0,0,0.01132154,0,0,0.070968778,0,0,0.243746098,0,0,0,0,0,0.277488727,0,0,0,0,0,0.0031,1.540721607,0,0,0.004268255,0,0
Bay Area AQMD,2014,LDT1,Aggregate,Aggregate,Electricity,735.533714,23153.14401,0,23153.14401,3709.01147,0,0,0,0,0,0,0.002000001,0.00152573,0,0,0,0.008000002,0.004359229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2015,LDA,Aggregate,Aggregate,Gasoline,2438042.462,83672495.15,83672495.15,0,11331413.49,0.127790047,0,0.413778687,0.001507821,0,0.002721237,0.002000001,0.002612158,0.001637839,0,0.002950389,0.008000002,0.007463309,341.6982555,0,82.74397516,0.008540715,0,0.112305494,0.009900833,0,0.040005033,0.039815707,0,0.592501333,0.172654479,0.394546834,2.943898188,0.056386065,0,0.648542476,0.172654479,0.394546834,2.943898188,0.02754518,2.172606034,0,5.133969856,0.003381381,0,0.000818819
Bay Area AQMD,2015,LDA,Aggregate,Aggregate,Diesel,24543.64579,897551.1251,897551.1251,0,114845.7238,0.264639566,0,0,0.019660013,0,0,0.002000001,0.002578561,0.020548952,0,0,0.008000002,0.007367317,246.0631207,0,0,0.001490192,0,0,0.038677696,0,0,0.032082958,0,0,0,0,0,0.036524315,0,0,0,0,0,0.0031,0.322626884,0,0,0.002326181,0,0
Bay Area AQMD,2015,LDA,Aggregate,Aggregate,Electricity,30990.79904,1036397.183,0,1036397.183,158658.5431,0,0,0,0,0,0,0.002000001,0.001524071,0,0,0,0.008000002,0.004354489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2015,LDT1,Aggregate,Aggregate,Gasoline,253320.8737,7921667.387,7921667.387,0,1137381.596,0.272026494,0,0.561880018,0.002885465,0,0.00450703,0.002000001,0.003149997,0.003130057,0,0.004884945,0.008000002,0.008999992,393.5008965,0,100.004765,0.01709635,0,0.150605107,0.017411342,0,0.045486111,0.086955905,0,0.844544394,0.301344327,0.780834064,5.193054244,0.120157366,0,0.924357826,0.301344327,0.780834064,5.193054244,0.033411402,3.85719564,0,7.951786315,0.00389401,0,0.000989628
Bay Area AQMD,2015,LDT1,Aggregate,Aggregate,Diesel,381.1090392,6582.058375,6582.058375,0,1343.18786,1.451881417,0,0,0.190923559,0,0,0.002000001,0.003583889,0.199556275,0,0,0.008000002,0.010239684,445.1149116,0,0,0.011741846,0,0,0.069965866,0,0,0.252795037,0,0,0,0,0,0.287790343,0,0,0,0,0,0.0031,1.528636096,0,0,0.004207937,0,0
Bay Area AQMD,2015,LDT1,Aggregate,Aggregate,Electricity,705.833828,21962.73868,0,21962.73868,3518.137077,0,0,0,0,0,0,0.002000001,0.001528399,0,0,0,0.008000002,0.004366856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2016,LDA,Aggregate,Aggregate,Gasoline,2421219.564,89058468.76,89058468.76,0,11269387.44,0.108359443,0,0.383009026,0.001439801,0,0.002529379,0.002000001,0.002580326,0.001564706,0,0.002745355,0.008000002,0.007372359,335.997836,0,80.61528638,0.007242683,0,0.104126845,0.008751516,0,0.03889916,0.032695595,0,0.536188315,0.155693348,0.35949742,2.753316334,0.046701109,0,0.586957372,0.155693348,0.35949742,2.753316334,0.028238057,1.911864905,0,4.657566902,0.003325206,0,0.00079781
Bay Area AQMD,2016,LDA,Aggregate,Aggregate,Diesel,22732.51355,860686.2475,860686.2475,0,105616.1115,0.252827779,0,0,0.018568046,0,0,0.002000001,0.002570381,0.01940761,0,0,0.008000002,0.007343945,245.0014758,0,0,0.001423777,0,0,0.038529677,0,0,0.030653072,0,0,0,0,0,0.034896484,0,0,0,0,0,0.0031,0.321257525,0,0,0.002317279,0,0
