            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2092,,1100.930664,818.3446045,971.7683105,896.5150146
2093,,983.4487915,481.2419128,1148.584595,817.6121826
2094,,807.4613037,904.9777222,1210.299927,971.0005493
2095,,899.5923462,1194.197144,1381.707397,967.1904297
2096,,859.9493408,802.6600342,840.0457764,977.9443359
2097,,907.2098389,751.5194702,1273.134155,885.1095581
2098,,1082.603516,1014.604248,989.1546021,779.8936768
2099,,1151.941772,978.1602173,1068.588135,933.0253296
2100,,1019.744446,820.0322876,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
          ,,,,,
