            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2091,,2140.126465,1819.314697,1503.438354,1998.842896
2092,,1866.620728,1830.026245,1564.36145,2041.570068
2093,,1737.900879,1640.533813,1989.522461,2018.687134
2094,,1671.133789,1873.352905,1354.004272,2021.147705
2095,,1858.415649,1806.071899,1462.385864,1763.681396
2096,,1852.621094,1968.472534,1802.646973,1780.535522
2097,,1733.524902,1902.115234,1669.218384,1669.459839
2098,,1574.674438,1737.547241,1473.083984,1690.019897
2099,,1622.441528,1831.553711,1748.734863,1663.438477
2100,,1432.198364,1882.098022,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
          ,,,,,
